body,ticket_type,category,sub_category1,urgency,impact
issues sharepoint could not operative,0,2,1,2,3
issues sharepoint could not functional,0,2,1,2,3
issues application could not running,0,2,2,2,4
issues application could not functional,0,2,2,2,4
issues application could not working,0,2,2,2,4
My application is not working,0,2,2,2,4
Our application could not working,0,2,2,2,4
issues application could not operative,0,2,2,2,4
Our sharepoint could not functional,0,2,1,2,4
All the application could not workings,0,2,2,2,4
All the arrears should be deliberate,0,3,1,2,3
All the arrears should be measured,0,3,1,2,3
All the arrears should be calculated,0,3,1,2,3
I want arrears should be deliberate,0,3,1,2,3
I want arrears should be measured,0,3,1,2,3
I want arrears should be calculated,0,3,1,2,3
I want arrears could deliberate,0,3,1,2,3
I want arrears could measured,0,3,1,2,3
I want arrears could calculated,0,3,1,2,3
Our arrears could deliberate,0,3,1,2,3
Our arrears could measured,0,3,1,2,3
Our arrears could calculated,0,3,1,2,3
issues arrears to be deliberate,0,3,1,2,3
issues arrears to be measured,0,3,1,2,3
issues arrears to be calculated,0,3,1,2,3
All the arrears could deliberate,0,3,1,2,3
All the arrears could measured,0,3,1,2,3
All the arrears could calculated,0,3,1,2,3
All the arrears could deliberate,0,3,1,2,3
All the arrears could measured,0,3,1,2,3
All the arrears could calculated,0,3,1,2,3
I want arrears could deliberate,0,3,1,2,3
I want arrears could measured,0,3,1,2,3
I want arrears could calculated,0,3,1,2,3
All the arrears could deliberate,0,3,1,2,3
All the arrears could measured,0,3,1,2,3
All the arrears could calculated,0,3,1,2,3
issues arrears could deliberate,0,3,1,2,3
issues arrears could measured,0,3,1,2,3
issues arrears could calculated,0,3,1,2,3
All the arrears should be deliberate,0,3,1,2,3
All the arrears should be measured,0,3,1,2,3
All the arrears should be calculated,0,3,1,2,3
All the arrears could deliberate,0,3,1,2,3
All the arrears could measured,0,3,1,2,3
All the arrears could calculated,0,3,1,2,3
issues arrears could deliberate,0,3,1,2,3
issues arrears could measured,0,3,1,2,3
issues arrears could calculated,0,3,1,2,3
issues arrears could deliberate,0,3,1,2,3
issues arrears could measured,0,3,1,2,3
issues arrears could calculated,0,3,1,2,3
issues arrears to be deliberate,0,3,1,2,3
issues arrears to be measured,0,3,1,2,3
issues arrears to be calculated,0,3,1,2,3
issues arrears to be deliberate,0,3,1,2,3
issues arrears to be measured,0,3,1,2,3
issues arrears to be calculated,0,3,1,2,3
Our arrears to be deliberate,0,3,1,2,3
Our arrears to be measured,0,3,1,2,3
Our arrears to be calculated,0,3,1,2,3
I want arrears to be deliberate,0,3,1,2,3
I want arrears to be measured,0,3,1,2,3
I want arrears to be calculated,0,3,1,2,3
issues arrears should be deliberate,0,3,1,2,3
issues arrears should be measured,0,3,1,2,3
issues arrears should be calculated,0,3,1,2,3
All the arrears to be deliberate,0,3,1,2,3
All the arrears to be measured,0,3,1,2,3
All the arrears to be calculated,0,3,1,2,3
Our arrears should be deliberate,0,3,1,2,3
Our arrears should be measured,0,3,1,2,3
Our arrears should be calculated,0,3,1,2,3
issues queries realed to payroll department,0,3,1,2,3
issues queries realed to payroll department,0,3,1,2,3
issues queries realed to payroll department,0,3,1,2,3
I have queries realed to payroll department,0,3,1,2,3
I have queries realed to paysheet,0,3,1,2,3
I have queries realed to paysheet,0,3,1,2,3
I have queries realed to payroll,0,3,1,2,3
issues queries realed to payroll department,0,3,1,2,3
All the queries realed to payroll department,0,3,1,2,3
All the queries realed to payroll department,0,3,1,2,3
issues queries realed to payroll department,0,3,1,2,3
issues queries realed to payroll department,0,3,1,2,3
All the queries realed to payroll department,0,3,1,2,3
I have queries realed to payroll department,0,3,1,2,3
I have queries realed to paysheet,0,3,1,2,3
I have queries realed to paysheet,0,3,1,2,3
I have queries realed to payroll,0,3,1,2,3
All the queries realed to payroll department,0,3,1,2,3
I have queries realed to payroll department,0,3,1,2,3
I have queries realed to paysheet,0,3,1,2,3
I have queries realed to paysheet,0,3,1,2,3
I have queries realed to payroll,0,3,1,2,3
issues queries realed to paysheet,0,3,1,2,3
issues queries realed to payroll,0,3,1,2,3
All the queries realed to payroll department,0,3,1,2,3
All the queries realed to payroll department,0,3,1,2,3
All the queries realed to payroll,0,3,1,2,3
Our queries realed to payroll department,0,3,1,2,3
Our queries realed to paysheet,0,3,1,2,3
Our queries realed to payroll,0,3,1,2,3
